order_id,expected_amount,order_date,customer_ref,status,payment_id,source
ORD_SYNTH_0000,5655.42,2026-08-26,CUST_9935,completed,PAY_SYNTH_0000,synthetic
ORD_SYNTH_0001,29565.58,2026-08-31,CUST_4257,completed,PAY_SYNTH_0001,synthetic
ORD_SYNTH_0002,32529.23,2026-08-26,CUST_3615,completed,PAY_SYNTH_0002,synthetic
ORD_SYNTH_0003,21188.46,2026-08-27,CUST_6635,completed,PAY_SYNTH_0003,synthetic
ORD_SYNTH_0004,13299.59,2026-08-19,CUST_2291,completed,PAY_SYNTH_0004,synthetic
ORD_SYNTH_0005,14729.6,2026-08-05,CUST_4733,completed,PAY_SYNTH_0005,synthetic
ORD_SYNTH_0006,14540.46,2026-08-26,CUST_6977,completed,PAY_SYNTH_0006,synthetic
ORD_SYNTH_0007,18572.03,2026-08-25,CUST_3803,completed,PAY_SYNTH_0007,synthetic
ORD_SYNTH_0008,36483.43,2026-08-21,CUST_6313,completed,PAY_SYNTH_0008,synthetic
ORD_SYNTH_0009,38438.85,2026-08-07,CUST_4456,completed,PAY_SYNTH_0009,synthetic
ORD_SYNTH_0010,43830.74,2026-08-13,CUST_5339,completed,PAY_SYNTH_0010,synthetic
ORD_SYNTH_0011,12406.71,2026-08-25,CUST_7543,completed,PAY_SYNTH_0011,synthetic
ORD_SYNTH_0012,11044.11,2026-08-17,CUST_3504,completed,PAY_SYNTH_0012,synthetic
ORD_SYNTH_0013,8083.1,2026-08-14,CUST_9669,completed,PAY_SYNTH_0013,synthetic
ORD_SYNTH_0014,48556.81,2026-09-02,CUST_5371,completed,PAY_SYNTH_0014,synthetic
ORD_DUP_9201,32083.99,2026-08-20,CUST_2743,completed,PAY_SYNTH_0015,synthetic
ORD_SYNTH_0016,14992.4,2026-08-14,CUST_9837,completed,PAY_SYNTH_0016,synthetic
ORD_ORPHAN_6038,,2026-08-14,CUST_4946,pending,PAY_SYNTH_0017,synthetic
ORD_SYNTH_0018,47352.78,2026-08-18,CUST_8787,completed,PAY_SYNTH_0018,synthetic
ORD_SYNTH_0019,8339.84,2026-08-14,CUST_4295,completed,PAY_SYNTH_0019,synthetic
